timestamp,profile,section,implementation,operation,sizeKB,meanMs,p50Ms,p95Ms,p99Ms,hz,iterations,url,sizeB
2025-10-07T14:03:02.387Z,delay40,FS,dta,write,4,0.1748716417764789,0.1609070000704378,0.249161799997091,0.4041140399686982,5718.480079681533,57185,,4096
2025-10-07T14:03:02.387Z,delay40,FS,dta,read,4,0.1233939950768293,0.1139320000074803,0.1634265999426133,0.2852924601011906,8104.1220796633215,81042,,4096
2025-10-07T14:03:02.387Z,delay40,FS,dta,remove,4,0.0616470346208278,0.0572249998804181,0.0812866998603567,0.1490349000692364,16221.380414332907,162214,,4096
2025-10-07T14:03:02.387Z,delay40,FS,dta,write,8,0.1820201708738981,0.164585999911651,0.2527360001113266,0.4197995999827976,5493.896611561752,54941,,8192
2025-10-07T14:03:02.387Z,delay40,FS,dta,read,8,0.1265456442174702,0.1145389999728649,0.1632206999929621,0.3027711799554523,7902.287006271728,79023,,8192
2025-10-07T14:03:02.387Z,delay40,FS,dta,remove,8,0.0622991780007393,0.0577360000461339,0.0802649999968707,0.1540975501411594,16051.576153831964,160516,,8192
2025-10-07T14:03:02.387Z,delay40,FS,dta,write,16,0.1947163743410551,0.1757680000737309,0.275685000186786,0.4688068400509659,5135.67491888716,51357,,16384
2025-10-07T14:03:02.387Z,delay40,FS,dta,read,16,0.1261919649186615,0.1148209997918456,0.1617866000160575,0.2827494399808345,7924.434813615601,79245,,16384
2025-10-07T14:03:02.387Z,delay40,FS,dta,remove,16,0.0612557021764057,0.0571029998827725,0.0795389999402687,0.149559999932535,16325.010806670269,163251,,16384
2025-10-07T14:03:02.387Z,delay40,FS,dta,write,32,0.2226491204517159,0.1949874999700114,0.3341141499695368,0.5770749100297705,4491.371885822751,44914,,32768
2025-10-07T14:03:02.387Z,delay40,FS,dta,read,32,0.1303953116965923,0.1169500001706183,0.166704999981448,0.3176879200269469,7668.987381439215,76690,,32768
2025-10-07T14:03:02.387Z,delay40,FS,dta,remove,32,0.0615113843773753,0.0573070000391453,0.0789983500260859,0.1455111700505955,16257.153210289522,162572,,32768
2025-10-07T14:03:02.387Z,delay40,FS,dta,write,64,0.3265101190785097,0.2725980000104755,0.5992357000475744,0.7918262600665887,3062.6922155498305,30627,,65536
2025-10-07T14:03:02.387Z,delay40,FS,dta,read,64,0.1377420493796821,0.1209560001734644,0.1736370001337491,0.3607780199195221,7259.94715850007,72600,,65536
2025-10-07T14:03:02.387Z,delay40,FS,dta,remove,64,0.0614626560991528,0.057247000047937,0.0794659999664872,0.1460489998571574,16270.042062399312,162701,,65536
2025-10-07T14:03:02.387Z,delay40,FS,dta,write,128,0.410496360740353,0.3415610000956803,0.6593249998986721,0.9054162002168604,2436.0751900368723,24361,,131072
2025-10-07T14:03:02.387Z,delay40,FS,dta,read,128,0.1495991096689239,0.1269330000504851,0.201631250034552,0.6036210500169656,6684.531761005052,66846,,131072
2025-10-07T14:03:02.387Z,delay40,FS,dta,remove,128,0.0618029988255604,0.0575369999278336,0.0797965999692678,0.1453406400512903,16180.444622477144,161805,,131072
